Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,,
dinner set,Kitchen & Dining,371.00,197.00,27.00,8.00,332.41,33.24,41.55,32180.00,779.00,GM,,
touch watch,Watches Sunglasses Jewellery,369.00,147.00,44.00,11.00,74.55,6.21,6.78,104122.00,643.00,Fashion,,
wireless airpods,TV Audio Video Gaming & Wearables,371.00,163.00,52.00,14.00,103.44,7.39,7.39,76322.00,1122.00,EL,,
express power,Groceries,370.00,249.00,197.00,119.00,1518.97,4.24,12.76,7027.00,1004.00,FMCG,,
apple airpods,TV Audio Video Gaming & Wearables,369.00,157.00,18.00,5.00,78.87,13.14,15.77,6087.00,633.00,EL,,
beauty blender,Health & Beauty,369.00,240.00,149.00,66.00,115.41,1.67,1.75,12284.00,662.00,FMCG,,
gift box,Stationery & Craft,368.00,109.00,21.00,6.00,96.31,2.47,16.05,301467.00,438.00,GM,,
flawless hair remover,Health & Beauty,367.00,255.00,155.00,102.00,417.71,3.73,4.10,8056.00,421.00,FMCG,,
dawlance refrigerator,Home Appliances,367.00,212.00,59.00,16.00,4865.16,286.19,304.07,616.00,549.00,EL,,
oppo reno 6,Mobiles & Tablets,367.00,189.00,44.00,6.00,2468.32,352.62,411.39,6450.00,228.00,EL,,
high lighter,Health & Beauty,366.00,179.00,79.00,39.00,104.00,2.31,2.67,32158.00,980.00,FMCG,,
water dispenser,Home Appliances,365.00,198.00,37.00,9.00,959.00,95.90,106.56,46810.00,691.00,EL,,
primer,Health & Beauty,365.00,202.00,97.00,34.00,74.78,2.02,2.20,27591.00,520.00,FMCG,,
maxi dresses for girls,Fashion,365.00,196.00,19.00,6.00,65.19,10.87,10.87,35836.00,798.00,Fashion,,
camera dslr,Cameras,365.00,176.00,21.00,1.00,25.77,25.77,25.77,25532.00,279.00,EL,,
nail art kit for girls,Health & Beauty,363.00,169.00,36.00,11.00,63.82,5.80,5.80,86271.00,271.00,FMCG,,
vivo y33s,Mobiles & Tablets,364.00,187.00,46.00,8.00,1498.36,187.29,187.29,8788.00,268.00,EL,,
lipsticks,Health & Beauty,363.00,198.00,70.00,29.00,86.24,2.21,2.97,58298.00,1139.00,FMCG,,
kids accessories,Mother & Baby,363.00,68.00,6.00,0.00,0.00,0.00,0.00,544666.00,889.00,FMCG,,
canvas,Stationery & Craft,363.00,202.00,102.00,38.00,128.55,2.79,3.38,189694.00,321.00,GM,,
charger,Mobiles & Tablets,363.00,123.00,35.00,12.00,29.02,2.23,2.42,389468.00,614.00,EL,,
blankets for winter,Bedding & Bath,362.00,187.00,26.00,9.00,82.06,9.12,9.12,50640.00,1019.00,GM,,
westpoint,Home Appliances,362.00,159.00,36.00,12.00,444.80,24.71,37.07,2849.00,609.00,EL,,
decorating items for home,Furniture & Decor,361.00,158.00,27.00,6.00,39.98,3.33,6.66,530058.00,1148.00,GM,,
rgb lights,Furniture & Decor,361.00,220.00,90.00,34.00,166.62,4.50,4.90,56054.00,815.00,GM,,
printer,Computers & Laptops,360.00,167.00,24.00,3.00,541.84,108.37,180.61,101284.00,514.00,EL,,
xiaomi flagship store,TV Audio Video Gaming & Wearables,360.00,111.00,7.00,1.00,395.02,395.02,395.02,389234.00,309.00,EL,,
humidifier for room,Home Appliances,358.00,196.00,61.00,22.00,229.63,9.98,10.44,42256.00,2295.00,EL,,
ac cover,Home Appliances,358.00,200.00,109.00,60.00,183.90,2.74,3.06,18131.00,280.00,EL,,
gaming mouse,Computers & Laptops,358.00,227.00,92.00,35.00,203.94,5.37,5.83,34934.00,1243.00,EL,,
tecno spark 7 pro,Mobiles & Tablets,358.00,169.00,81.00,36.00,19617.07,116.77,544.92,990.00,188.00,EL,,
handfrees,TV Audio Video Gaming & Wearables,357.00,216.00,121.00,42.00,100.13,2.23,2.38,2474110.00,733.00,EL,,
gas heater,Home Appliances,357.00,201.00,32.00,7.00,97.20,12.15,13.89,4503.00,576.00,EL,,
ps4 games,TV Audio Video Gaming & Wearables,357.00,122.00,20.00,3.00,96.29,19.26,32.10,18396.00,778.00,EL,,
iron stand,Laundry & Cleaning,356.00,159.00,24.00,9.00,200.05,22.23,22.23,30422.00,771.00,GM,,
girl and boy sex,Health & Beauty,356.00,38.00,1.00,0.00,0.00,0.00,0.00,5450.00,140.00,FMCG,,
poco f3,Mobiles & Tablets,356.00,196.00,80.00,22.00,18996.40,372.48,863.47,4192.00,625.00,EL,,
belt for men,Fashion,355.00,143.00,37.00,14.00,68.62,4.90,4.90,79174.00,988.00,Fashion,,
mobile cover,Mobiles & Tablets,355.00,72.00,3.00,0.00,0.00,0.00,0.00,5678369.00,423.00,EL,,
hair accessories,Fashion,356.00,105.00,32.00,7.00,20.62,1.87,2.95,466500.00,761.00,Fashion,,
wall clock 3d,Furniture & Décor,355.00,218.00,119.00,65.00,294.20,3.54,4.53,15990.00,1028.00,GM,,
shirts,Fashion,355.00,80.00,9.00,2.00,11.59,5.79,5.79,805951.00,275.00,Fashion,,
grocery items,Groceries,354.00,81.00,5.00,1.00,0.68,0.68,0.68,939463.00,1206.00,FMCG,,
rolex watch for men,Watches Sunglasses Jewellery,354.00,159.00,13.00,2.00,23.35,11.68,11.68,488.00,451.00,Fashion,,
a26,Mobiles & Tablets,351.00,282.00,70.00,169.00,10294.69,59.16,60.92,127285.00,120.00,EL,,
mirror for wall,Furniture & Decor,353.00,202.00,21.00,5.00,99.35,16.56,19.87,46850.00,468.00,GM,,
graphic card,Computers & Laptops,353.00,146.00,32.00,12.00,185.85,12.39,15.49,11696.00,530.00,EL,,
crockery,Kitchen & Dining,352.00,111.00,15.00,8.00,33.52,3.05,4.19,2798.00,1065.00,GM,,
t shirt for boys,Fashion,352.00,71.00,17.00,4.00,18.94,3.16,4.73,38018.00,888.00,Fashion,,
philips,Health & Beauty,351.00,89.00,18.00,5.00,177.57,35.51,35.51,30791.00,653.00,FMCG,,
leather jacket,Fashion,350.00,167.00,17.00,2.00,47.38,23.69,23.69,12922.00,568.00,Fashion,,
tea,Groceries,351.00,190.00,95.00,20.00,239.51,9.58,11.98,295871.00,1018.00,FMCG,,
earrings,Watches Sunglasses Jewellery,350.00,173.00,52.00,11.00,22.57,2.05,2.05,522409.00,1027.00,Fashion,,
electronic items,Health & Beauty,350.00,20.00,3.00,0.00,0.00,0.00,0.00,403850.00,475.00,FMCG,,
cap shawl for girls,Fashion,350.00,162.00,24.00,5.00,48.42,8.07,9.68,6542.00,1051.00,Fashion,,
iphone 10,Mobiles & Tablets,348.00,38.00,2.00,0.00,0.00,0.00,0.00,50008.00,130.00,EL,,
furniture,Furniture & Decor,347.00,149.00,22.00,3.00,151.81,50.60,50.60,1832488.00,813.00,GM,,
nighty sexy full hot,Fashion,348.00,159.00,21.00,6.00,49.32,5.48,8.22,18807.00,830.00,Fashion,,
condoms,Health & Beauty,347.00,171.00,62.00,22.00,107.11,2.98,4.87,1422.00,610.00,FMCG,,
shawl for women,Fashion,347.00,196.00,33.00,7.00,65.21,8.15,9.32,38561.00,698.00,Fashion,,
mirror,Health & Beauty,346.00,110.00,13.00,4.00,7.78,1.56,1.95,497953.00,957.00,FMCG,,
watch for girls,Watches Sunglasses Jewellery,346.00,142.00,31.00,14.00,69.18,4.07,4.94,705598.00,640.00,Fashion,,
vape shisha,Motors,345.00,24.00,0.00,0.00,0.00,0.00,0.00,1489.00,301.00,GM,,
bts bag,Bags and Travel,344.00,160.00,30.00,14.00,171.50,11.43,12.25,686.00,528.00,Fashion,,
tablat,Mobiles & Tablets,344.00,134.00,15.00,2.00,292.83,146.41,146.41,6078384.00,261.00,EL,,
meezan cooking oil,Groceries,342.00,203.00,115.00,29.00,920.94,24.24,31.76,82.00,81.00,FMCG,,
changhong ruba,Home Appliances,342.00,162.00,90.00,32.00,13871.66,346.79,433.49,337.00,198.00,EL,,
vibrator for pussy,Health & Beauty,342.00,74.00,6.00,1.00,1.09,1.09,1.09,6695.00,691.00,FMCG,,
long coat for men,Fashion,341.00,194.00,13.00,4.00,50.81,12.70,12.70,15674.00,714.00,Fashion,,
jewelery for girls,Watches Sunglasses Jewellery,341.00,154.00,24.00,9.00,26.16,2.18,2.91,555902.00,1018.00,Fashion,,
remington hair straightner,Health & Beauty,341.00,181.00,29.00,12.00,417.60,27.84,34.80,1945.00,424.00,FMCG,,
straightener,Health & Beauty,341.00,155.00,70.00,22.00,137.96,6.27,6.27,44293.00,819.00,FMCG,,
mobail,Mobiles & Tablets,340.00,99.00,12.00,0.00,0.00,0.00,0.00,6176079.00,565.00,EL,,
earings,Watches Sunglasses Jewellery,340.00,176.00,58.00,11.00,29.66,2.28,2.70,521581.00,1018.00,Fashion,,
eyeshadow,Health & Beauty,340.00,183.00,76.00,30.00,136.39,3.69,4.55,88913.00,668.00,FMCG,,
gaming computer pc,Computers & Laptops,340.00,130.00,10.00,1.00,199.05,66.35,199.05,195388.00,356.00,EL,,
heels for girls,Fashion,339.00,133.00,6.00,0.00,0.00,0.00,0.00,16968.00,635.00,Fashion,,
durex,Health & Beauty,339.00,128.00,42.00,27.00,156.61,4.89,5.80,238.00,238.00,FMCG,,
name locket,Watches Sunglasses Jewellery,338.00,164.00,57.00,13.00,75.73,5.41,5.83,13406.00,1008.00,Fashion,,
sketch book,Stationery & Craft,338.00,188.00,64.00,21.00,46.22,2.20,2.20,5319.00,378.00,GM,,
baby toys,Toys & Games,335.00,135.00,21.00,6.00,33.30,3.70,5.55,450401.00,1024.00,GM,,
dawlance microwave oven,Home Appliances,335.00,206.00,80.00,29.00,4057.76,75.14,139.92,390.00,380.00,EL,,
supreme tea,Groceries,335.00,227.00,143.00,44.00,740.09,10.14,16.82,331.00,298.00,FMCG,,
pencil,Stationery & Craft,334.00,128.00,30.00,3.00,4.06,1.01,1.35,130933.00,828.00,GM,,
hangers for clothes,Laundry & Cleaning,333.00,215.00,101.00,41.00,93.34,1.83,2.28,58788.00,495.00,GM,,
lighter,Kitchen & Dining,333.00,162.00,33.00,15.00,43.50,2.90,2.90,55901.00,418.00,GM,,
free fire diamonds,Digital Goods,333.00,171.00,78.00,11.00,12.26,1.11,1.11,247354.00,290.00,Digital Goods,,
butterfly pads,Health & Beauty,333.00,189.00,86.00,27.00,167.64,3.90,6.21,5889.00,242.00,FMCG,,
hand bags for girls,Bags and Travel,332.00,155.00,24.00,8.00,86.92,7.24,10.86,158994.00,1104.00,Fashion,,
dermacol foundation,Health & Beauty,332.00,221.00,129.00,72.00,206.41,2.46,2.87,261.00,242.00,FMCG,,
nokia 105,Mobiles & Tablets,331.00,157.00,65.00,23.00,937.92,30.26,40.78,237.00,237.00,EL,,
earphones,TV Audio Video Gaming & Wearables,331.00,159.00,71.00,33.00,99.95,2.94,3.03,199956.00,2186.00,EL,,
garnier,Health & Beauty,331.00,90.00,26.00,13.00,54.94,2.89,4.23,521250.00,150.00,FMCG,,
roti maker,Home Appliances,331.00,153.00,21.00,3.00,79.02,26.34,26.34,1052.00,530.00,EL,,
water bottle pump,Kitchen & Dining,331.00,179.00,113.00,70.00,208.69,2.86,2.98,52462.00,599.00,GM,,
glases for men,Watches Sunglasses Jewellery,330.00,117.00,15.00,6.00,22.96,3.83,3.83,335883.00,653.00,Fashion,,
abaya for women,Fashion,330.00,164.00,11.00,2.00,26.05,13.02,13.02,57131.00,788.00,Fashion,,
glasses,Watches Sunglasses Jewellery,329.00,140.00,35.00,10.00,24.52,2.23,2.45,2142965.00,562.00,Fashion,,
rado watches for man,Watches Sunglasses Jewellery,330.00,100.00,9.00,0.00,0.00,0.00,0.00,118.00,117.00,Fashion,,
glue gun,Tools DIY & Outdoor,330.00,173.00,58.00,24.00,74.82,2.77,3.12,3573.00,1019.00,GM,,
office chair,Furniture & Decor,328.00,177.00,32.00,9.00,519.96,57.77,57.77,20864.00,987.00,GM,,
oppo f19 pro,Mobiles & Tablets,327.00,151.00,25.00,3.00,795.87,265.29,265.29,4890.00,209.00,EL,,
sweaters for girls,Fashion,328.00,117.00,10.00,0.00,0.00,0.00,0.00,20884.00,698.00,Fashion,,
xxx girl and boy,Health & Beauty,329.00,26.00,2.00,0.00,0.00,0.00,0.00,1426.00,410.00,FMCG,,
gaming pc,Computers & Laptops,327.00,157.00,15.00,1.00,195.81,195.81,195.81,235002.00,222.00,EL,,
everyday,Groceries,326.00,198.00,128.00,55.00,742.65,9.40,13.50,100270.00,178.00,FMCG,,
coat for boys,Fashion,327.00,75.00,5.00,0.00,0.00,0.00,0.00,8453.00,738.00,Fashion,,
velvet dresses for women,Fashion,327.00,161.00,8.00,0.00,0.00,0.00,0.00,2796.00,728.00,Fashion,,
daraz,Fashion,325.00,23.00,2.00,0.00,0.00,0.00,0.00,100458.00,221.00,Fashion,,
sunsilk shampoo,Health & Beauty,326.00,204.00,102.00,35.00,287.65,5.43,8.22,3856.00,824.00,FMCG,,
chair,Furniture & Décor,325.00,158.00,27.00,6.00,135.22,16.90,22.54,107430.00,1019.00,GM,,
college bags for girls,Bags and Travel,324.00,195.00,33.00,10.00,80.09,8.01,8.01,28611.00,1020.00,Fashion,,
sofa,Furniture & Decor,324.00,170.00,14.00,2.00,224.18,112.09,112.09,135928.00,721.00,GM,,
ssd,Computers & Laptops,324.00,177.00,58.00,10.00,323.88,26.99,32.39,19618.00,1087.00,EL,,
korean fire noodles,Groceries,323.00,181.00,70.00,23.00,98.21,2.89,4.27,1872.00,499.00,FMCG,,
power bank 20000 mah fast charging,Mobiles & Tablets,323.00,164.00,51.00,19.00,170.56,8.53,8.98,2393.00,424.00,EL,,
cups for tea,Kitchen & Dining,322.00,125.00,25.00,5.00,24.39,4.88,4.88,136941.00,608.00,GM,,
vivo v21e,Mobiles & Tablets,322.00,187.00,69.00,11.00,2744.65,211.13,249.51,3561.00,1083.00,EL,,
wrist watch for men,Watches Sunglasses Jewellery,323.00,169.00,46.00,21.00,76.69,3.49,3.65,818466.00,997.00,Fashion,,
spark 7,Mobiles & Tablets,321.00,234.00,172.00,58.00,17813.36,107.31,307.13,7241.00,108.00,EL,,
loreal,Health & Beauty,320.00,102.00,54.00,25.00,472.05,8.00,18.88,1105.00,488.00,FMCG,,
mobile holder,Mobiles & Tablets,319.00,132.00,43.00,18.00,37.41,1.97,2.08,183841.00,658.00,EL,,
ladies bag,Bags and Travel,320.00,180.00,42.00,9.00,109.20,9.93,12.13,507259.00,1088.00,Fashion,,
racket,Sports & Outdoors,319.00,182.00,57.00,17.00,79.12,4.16,4.65,27442.00,328.00,GM,,
tv,TV Audio Video Gaming & Wearables,319.00,124.00,31.00,6.00,2494.16,356.31,415.69,1463097.00,421.00,EL,,
cat house,Pet Supplies,319.00,171.00,46.00,12.00,94.57,7.88,7.88,37496.00,632.00,FMCG,,
frocks for girls,Fashion,318.00,64.00,2.00,0.00,0.00,0.00,0.00,9869.00,893.00,Fashion,,
spinner,Toys & Games,318.00,117.00,35.00,15.00,35.16,2.34,2.34,33105.00,548.00,GM,,
bike 70cc,Motors,317.00,51.00,10.00,0.00,0.00,0.00,0.00,3903.00,315.00,GM,,
tab,Mobiles & Tablets,319.00,153.00,23.00,3.00,202.21,67.40,67.40,5975512.00,291.00,EL,,
lip stick set,Health & Beauty,316.00,174.00,66.00,28.00,110.85,3.36,3.96,8892.00,580.00,FMCG,,
electric beater,Home Appliances,316.00,159.00,53.00,20.00,175.93,8.80,8.80,22762.00,878.00,EL,,
iphone 12 pro max mobile,Mobiles & Tablets,315.00,147.00,20.00,0.00,0.00,0.00,0.00,70466.00,170.00,EL,,
iphone 12,Mobiles & Tablets,314.00,132.00,18.00,0.00,0.00,0.00,0.00,70453.00,250.00,EL,,
led lights,Furniture & Decor,314.00,136.00,40.00,15.00,72.34,4.52,4.82,2868997.00,468.00,GM,,
gaming chair,Furniture & Decor,314.00,140.00,29.00,7.00,923.92,131.99,131.99,1853.00,461.00,GM,,
brush set,Health & Beauty,314.00,186.00,97.00,37.00,144.37,3.36,3.90,302275.00,683.00,FMCG,,
readme mobile,Mobiles & Tablets,314.00,88.00,13.00,1.00,195.25,195.25,195.25,140256.00,201.00,EL,,
guns for boys,Toys & Games,314.00,140.00,20.00,7.00,63.65,3.98,9.09,387.00,323.00,GM,,
wireless bluetooth handfree,TV Audio Video Gaming & Wearables,314.00,160.00,53.00,15.00,119.45,6.64,7.96,90146.00,1087.00,EL,,
winter coats for girls,Fashion,314.00,103.00,7.00,1.00,16.66,16.66,16.66,10051.00,671.00,Fashion,,
powerbank,Mobiles & Tablets,313.00,198.00,69.00,26.00,214.53,7.66,8.25,36973.00,392.00,EL,,
jacket for men winter,Fashion,312.00,173.00,34.00,12.00,113.78,9.48,9.48,918316.00,1001.00,Fashion,,
honey,Groceries,312.00,190.00,89.00,26.00,220.60,7.61,8.48,34342.00,1018.00,FMCG,,
electric stove,Kitchen & Dining,312.00,184.00,22.00,3.00,55.32,11.06,18.44,6636.00,582.00,GM,,
diary for girls,Stationery & Craft,312.00,126.00,26.00,4.00,8.51,2.13,2.13,1698.00,719.00,GM,,
nail paint,Health & Beauty,313.00,183.00,55.00,23.00,80.58,2.52,3.50,17168.00,359.00,FMCG,,
auto matic washing machine,Home Appliances,311.00,175.00,36.00,6.00,1485.58,247.60,247.60,7644.00,479.00,EL,,
earphone,TV Audio Video Gaming & Wearables,310.00,136.00,60.00,26.00,76.71,2.26,2.95,599704.00,1147.00,EL,,
dryer machine,Home Appliances,312.00,60.00,15.00,1.00,68.64,68.64,68.64,181162.00,897.00,EL,,
gionee handsfree,TV Audio Video Gaming & Wearables,310.00,215.00,116.00,47.00,143.40,2.76,3.05,3110.00,249.00,EL,,
fidget toy,Toys & Games,310.00,100.00,33.00,8.00,23.60,2.36,2.95,37264.00,599.00,GM,,
bona papa diaper,Mother & Baby,310.00,154.00,71.00,27.00,410.27,10.01,15.20,528.00,498.00,FMCG,,
bts album,Stationery & Craft,310.00,154.00,17.00,0.00,0.00,0.00,0.00,234.00,236.00,GM,,
vaccum cleaner,Home Appliances,310.00,152.00,35.00,12.00,911.31,65.09,75.94,368379.00,558.00,EL,,
1 rupee,TV Audio Video Gaming & Wearables,309.00,230.00,201.00,169.00,5.05,0.01,0.03,2687.00,300.00,EL,,
lamp,Furniture & Decor,309.00,134.00,37.00,8.00,43.01,4.78,5.38,552556.00,518.00,GM,,
netflix,Digital Goods,307.00,152.00,54.00,24.00,47.88,1.92,2.00,2632.00,235.00,Digital Goods,,
selfie stick,Mobiles & Tablets,309.00,182.00,60.00,29.00,109.48,3.42,3.78,12467.00,428.00,EL,,
nighty,Fashion,308.00,152.00,24.00,9.00,61.21,6.80,6.80,18543.00,1294.00,Fashion,,
mattress,Furniture & Decor,308.00,172.00,40.00,10.00,961.58,73.97,96.16,31653.00,518.00,GM,,
sheet mask,Health & Beauty,308.00,201.00,103.00,47.00,173.02,3.20,3.68,4823.00,400.00,FMCG,,
shirts for boys,Fashion,308.00,69.00,7.00,4.00,27.07,3.38,6.77,48817.00,318.00,Fashion,,
coat,Fashion,307.00,98.00,12.00,1.00,6.17,6.17,6.17,379266.00,848.00,Fashion,,
kitchen,Kitchen & Dining,307.00,111.00,45.00,15.00,34.75,1.24,2.32,2324339.00,1369.00,GM,,
body spray,Health & Beauty,306.00,119.00,44.00,16.00,59.34,3.12,3.71,20066.00,536.00,FMCG,,
tcl led,TV Audio Video Gaming & Wearables,306.00,158.00,49.00,12.00,7046.14,414.48,587.18,2069.00,260.00,EL,,
green mask stick,Health & Beauty,305.00,200.00,106.00,55.00,170.48,2.94,3.10,1383.00,491.00,FMCG,,
one rupee game today,Digital Goods,305.00,226.00,213.00,194.00,4.23,0.01,0.02,6.00,7.00,Digital Goods,,
infinix note 10,Mobiles & Tablets,305.00,154.00,54.00,6.00,1008.29,168.05,168.05,17896.00,247.00,EL,,
olive oil,Groceries,304.00,114.00,35.00,9.00,130.86,14.54,14.54,11917.00,348.00,FMCG,,
mobile phone samsung,Mobiles & Tablets,304.00,86.00,13.00,0.00,0.00,0.00,0.00,1014856.00,308.00,EL,,
headphones for mobile,"TV, Audio / Video, Gaming & Wearables",303.00,111.00,37.00,15.00,34.53,2.16,2.30,438444.00,458.00,EL,,
winter shoes for women,Fashion,303.00,76.00,5.00,0.00,0.00,0.00,0.00,17238.00,1018.00,Fashion,,
hoddies for men,Fashion,305.00,197.00,43.00,15.00,105.38,6.59,7.03,35437.00,808.00,Fashion,,
tablets,Mobiles & Tablets,303.00,157.00,25.00,3.00,392.77,130.92,130.92,5965571.00,325.00,EL,,
beater machine,Home Appliances,302.00,153.00,52.00,22.00,195.31,8.49,8.88,10746.00,608.00,EL,,
makeup deals,Health & Beauty,302.00,185.00,22.00,5.00,17.46,3.49,3.49,20929.00,690.00,FMCG,,
fake nails,Health & Beauty,302.00,174.00,62.00,23.00,57.26,2.05,2.49,1409.00,730.00,FMCG,,
vivo y21,Mobiles & Tablets,301.00,156.00,37.00,5.00,1073.12,153.30,214.62,6606.00,200.00,EL,,
realme 8,Mobiles & Tablets,302.00,83.00,8.00,1.00,499.67,249.83,499.67,7920.00,183.00,EL,,
candles,Furniture & Decor,301.00,146.00,32.00,11.00,28.70,1.91,2.61,85288.00,1472.00,GM,,
ponds face wash,Health & Beauty,301.00,161.00,42.00,12.00,45.34,2.67,3.78,954.00,281.00,FMCG,,
shirt,Fashion,301.00,70.00,15.00,5.00,11.49,1.44,2.30,851333.00,1019.00,Fashion,,
shisha,Motors,302.00,45.00,5.00,2.00,5.96,2.98,2.98,24211.00,1038.00,GM,,
magnetic balls,Toys & Games,300.00,138.00,27.00,10.00,106.25,7.59,10.62,5579.00,473.00,GM,,
pantene shampoo,Health & Beauty,300.00,220.00,156.00,79.00,1040.33,5.42,13.17,1020.00,612.00,FMCG,,
sex doll toy for men pussy doll,Health & Beauty,300.00,27.00,0.00,0.00,0.00,0.00,0.00,6695.00,300.00,FMCG,,
skin care products,Health & Beauty,300.00,132.00,24.00,7.00,33.78,2.11,4.83,85776.00,1020.00,FMCG,,
phone cover,Mobiles & Tablets,299.00,41.00,4.00,0.00,0.00,0.00,0.00,5679389.00,428.00,EL,,
xbox,TV Audio Video Gaming & Wearables,299.00,82.00,6.00,0.00,0.00,0.00,0.00,52354.00,348.00,EL,,
playstation,TV Audio Video Gaming & Wearables,299.00,103.00,8.00,0.00,0.00,0.00,0.00,64800.00,834.00,EL,,
real me,Mobiles & Tablets,298.00,123.00,36.00,7.00,1484.11,185.51,212.02,1219979.00,182.00,EL,,
men clothes,Fashion,297.00,74.00,7.00,1.00,4.77,4.77,4.77,23308.00,488.00,Fashion,,
medora lipstick,Health & Beauty,297.00,150.00,56.00,17.00,66.69,1.80,3.92,163.00,163.00,FMCG,,
cupboard,Furniture & Decor,298.00,157.00,26.00,7.00,262.38,29.15,37.48,413643.00,749.00,GM,,
derma shine facial kit,Health & Beauty,297.00,182.00,75.00,37.00,381.52,9.54,10.31,918.00,293.00,FMCG,,
bts accessories,Fashion,297.00,83.00,6.00,1.00,7.20,7.20,7.20,9890.00,517.00,Fashion,,
cars,Motors,297.00,91.00,12.00,0.00,0.00,0.00,0.00,1680157.00,288.00,GM,,
light for room,Furniture & Décor,296.00,94.00,28.00,12.00,34.31,2.64,2.86,254804.00,920.00,GM,,
uc,Digital Goods,297.00,135.00,79.00,18.00,85.01,3.86,4.72,7910.00,172.00,Digital Goods,,
makeup bag,Health & Beauty,296.00,158.00,58.00,21.00,37.76,1.72,1.80,191170.00,594.00,FMCG,,
head fone,"TV, Audio / Video, Gaming & Wearables",296.00,133.00,46.00,11.00,56.58,5.14,5.14,451768.00,677.00,EL,,
baking accessories,Kitchen & Dining,296.00,142.00,47.00,8.00,50.74,3.38,6.34,227024.00,1026.00,GM,,
abaya,Fashion,296.00,136.00,14.00,1.00,11.05,11.05,11.05,64146.00,944.00,Fashion,,
vivo y20 back cover,Mobiles & Tablets,296.00,176.00,51.00,13.00,60.69,4.05,4.67,13110.00,548.00,EL,,
poco m3,Mobiles & Tablets,296.00,54.00,8.00,2.00,3.13,1.57,1.57,4669.00,262.00,EL,,
13 pro max,Mobiles & Tablets,295.00,177.00,40.00,1.00,1689.51,1689.51,1689.51,22241.00,652.00,EL,,
mini bags for girls,Bags and Travel,295.00,119.00,19.00,2.00,13.02,6.51,6.51,16259.00,698.00,Fashion,,
face wash for girls,Health & Beauty,295.00,145.00,45.00,17.00,55.92,2.66,3.29,36939.00,442.00,FMCG,,
girls watches,Watches Sunglasses Jewellery,295.00,136.00,41.00,7.00,21.36,2.37,3.05,555183.00,658.00,Fashion,,
gym gloves,Sports & Outdoors,295.00,165.00,75.00,37.00,126.56,2.94,3.42,8424.00,528.00,GM,,
bracelet for boys,Watches Sunglasses Jewellery,295.00,127.00,35.00,14.00,24.80,1.77,1.77,28545.00,700.00,Fashion,,
blender machine,Home Appliances,295.00,113.00,23.00,4.00,69.99,17.50,17.50,13080.00,953.00,EL,,
kichan item,Kitchen & Dining,294.00,110.00,37.00,10.00,29.63,2.47,2.96,2322083.00,829.00,GM,,
pen for girls,Stationery & Craft,294.00,127.00,25.00,6.00,13.39,2.23,2.23,7316.00,388.00,GM,,
vitamin c serum,Health & Beauty,295.00,150.00,67.00,31.00,139.70,3.99,4.51,4145.00,309.00,FMCG,,
bluetooth handsfree,TV Audio Video Gaming & Wearables,293.00,158.00,67.00,23.00,101.49,4.06,4.41,115697.00,569.00,EL,,
football shoes,Sports & Outdoors,293.00,118.00,16.00,6.00,252.67,28.07,42.11,3004.00,327.00,GM,,
chopper machine electric,Home Appliances,293.00,165.00,40.00,14.00,390.80,26.05,27.91,6666.00,698.00,EL,,
winter collection,Fashion,293.00,53.00,11.00,5.00,73.44,10.49,14.69,52555.00,838.00,Fashion,,
sun glasses for men,Watches Sunglasses Jewellery,292.00,103.00,15.00,5.00,26.59,5.32,5.32,323506.00,730.00,Fashion,,
tracksuit for men,Fashion,292.00,148.00,29.00,12.00,128.46,9.88,10.70,5822.00,1087.00,Fashion,,
oppo f19 back cover,Mobiles & Tablets,291.00,183.00,68.00,16.00,64.84,3.41,4.05,6206.00,1018.00,EL,,
haier automatic washing machine,Home Appliances,291.00,175.00,59.00,10.00,2929.42,266.31,292.94,550.00,248.00,EL,,
apple,Mobiles & Tablets,290.00,42.00,5.00,0.00,0.00,0.00,0.00,505526.00,795.00,EL,,
iphone 8 plus,Mobiles & Tablets,290.00,32.00,4.00,1.00,2.59,2.59,2.59,57259.00,231.00,EL,,
earpods,TV Audio Video Gaming & Wearables,290.00,124.00,33.00,8.00,35.31,4.41,4.41,89462.00,829.00,EL,,
eyeliner,Health & Beauty,290.00,159.00,76.00,26.00,52.79,1.70,2.03,20575.00,551.00,FMCG,,
cat,Pet Supplies,290.00,47.00,11.00,3.00,8.78,1.76,2.93,312731.00,391.00,FMCG,,
paper soap,Health & Beauty,290.00,156.00,75.00,25.00,51.04,1.65,2.04,6189.00,539.00,FMCG,,
rivaj uk,Health & Beauty,290.00,77.00,22.00,8.00,39.81,2.65,4.98,1027.00,960.00,FMCG,,
led tv 32 inch,TV Audio Video Gaming & Wearables,290.00,109.00,19.00,2.00,364.34,182.17,182.17,5729.00,409.00,EL,,
men accessories,Fashion,289.00,73.00,10.00,2.00,7.50,3.75,3.75,689967.00,611.00,Fashion,,
high neck for men,Fashion,289.00,164.00,43.00,18.00,121.64,6.08,6.76,15308.00,678.00,Fashion,,
upper for boys,Fashion,289.00,120.00,15.00,5.00,33.04,6.61,6.61,13393.00,430.00,Fashion,,
serum,Health & Beauty,289.00,163.00,74.00,40.00,98.12,1.46,2.45,31923.00,569.00,FMCG,,
lcd,Computers & Laptops,288.00,60.00,6.00,0.00,0.00,0.00,0.00,158636.00,301.00,EL,,
